Local Employees,Total Employees,Local Sales,Total Sales,International,Ad Spending,New Location,Ownership Type,Industry Type,Industry Category,Age,Buyer
2,2,2,2,0,D,S,Private,72,C,12,0
2,2,2,2,0,A,S,Private,52,F,12,0
2,2,2,2,0,D,S,Private,24,H,12,0
2,2,2,2,0,D,M,Private,75,C,5,0
2,2,2,2,0,E,S,Private,27,H,9,0
2,2,2,2,0,B,S,Private,65,A,2,0
2,2,2,2,0,D,M,Private,86,C,12,0
2,2,2,2,0,D,S,Private,86,C,12,0
2,2,2,2,0,D,S,Private,72,C,12,0
2,2,2,2,0,C,S,Private,86,C,12,0
2,2,2,2,0,D,S,Private,86,C,12,0
2,2,2,2,0,D,S,Private,34,H,12,0
2,2,2,2,0,D,S,Private,54,F,12,0
2,2,2,2,0,B,S,Private,73,C,12,0
2,2,2,2,0,A,S,Private,56,F,12,0
2,2,2,2,0,B,S,Private,7,I,12,0
2,2,2,2,0,C,S,Private,23,H,12,0
2,2,2,2,0,D,S,,87,C,5,0
2,2,2,2,0,D,S,Private,86,C,12,0
2,2,2,2,0,D,S,Private,1,I,12,0
2,2,2,2,0,D,S,Private,72,C,12,0
2,2,2,2,0,A,S,Private,72,C,6,0
2,2,2,2,0,B,S,Private,73,C,12,0
2,2,2,2,0,E,S,Private,39,H,4,0
2,2,2,2,0,B,S,Private,76,C,6,0
2,2,2,2,0,B,M,Private,86,C,12,0
2,2,2,2,0,D,S,Private,70,C,10,0
2,2,2,2,0,C,S,,76,C,12,0
2,2,2,2,0,D,S,Private,86,C,6,0
2,2,2,2,0,C,S,Private,59,F,12,0
2,2,2,2,0,D,S,Private,86,C,12,0
2,2,2,2,0,D,S,,58,F,12,0
2,2,2,2,0,B,S,,65,A,12,0
2,2,2,2,0,A,S,Private,65,A,12,0
2,2,2,2,0,E,S,Private,23,H,9,0
2,2,2,2,0,B,S,,59,F,2,0
2,2,2,2,0,A,S,,56,F,3,0
2,2,2,2,0,D,S,,34,H,2,0
2,2,2,2,0,D,S,,58,F,3,0
2,2,2,2,0,B,S,,73,C,3,0
2,2,2,2,0,A,S,#N/A,87,C,10,0
2,2,2,2,0,A,S,Private,72,C,11,0
2,2,2,2,0,D,M,Private,36,H,12,0
2,2,2,2,0,D,S,,65,A,3,0
2,2,2,2,0,D,S,Private,57,F,5,0
2,2,2,2,0,D,S,Private,65,A,12,0
2,2,2,2,0,D,S,Private,87,C,10,0
2,2,2,2,0,D,S,Private,79,C,2,0
2,2,2,2,0,D,S,Private,76,C,7,0
2,2,2,2,0,D,M,Private,27,H,10,0
2,2,2,2,0,D,S,Private,87,C,3,0
2,2,2,2,0,D,S,Private,17,G,9,0
2,2,2,2,0,B,S,Private,72,C,9,0
2,2,2,2,0,E,S,Private,35,H,9,0
2,2,2,2,0,D,S,Private,7,I,10,0
2,2,2,2,0,D,S,Private,75,C,10,0
2,2,2,2,0,C,S,Private,7,I,10,0
2,2,2,2,0,D,S,Private,72,C,6,0
2,2,2,2,0,C,S,Private,79,C,6,0
2,2,2,2,0,A,S,Private,56,F,6,0
2,2,2,2,0,E,M,Private,23,H,3,0
2,2,2,2,0,D,S,,65,A,4,0
2,2,2,2,0,C,S,,65,A,4,0
2,2,2,2,0,D,S,,65,A,4,0
2,2,2,2,0,D,S,Private,87,C,6,0
2,2,2,2,0,D,M,Private,13,D,6,0
2,2,2,2,0,D,S,Private,83,C,6,0
2,2,2,2,0,D,S,Private,72,C,6,0
2,2,2,2,0,D,S,,80,C,6,0
2,2,2,2,0,D,S,Private,83,C,6,0
2,2,2,2,0,D,S,Private,42,E,6,0
2,2,2,2,0,D,S,,86,C,6,0
2,2,2,2,0,A,S,Private,42,E,6,0
2,2,2,2,0,D,S,Private,79,C,6,0
2,2,2,2,0,D,S,Private,87,C,5,0
2,2,2,2,0,A,S,Private,17,G,6,0
2,2,2,2,0,D,S,Private,87,C,6,0
2,2,2,2,0,D,S,Private,86,C,6,0
2,2,2,2,0,D,S,Private,59,F,6,0
2,2,2,2,0,D,S,,86,C,6,0
2,2,2,2,0,D,S,Private,34,H,6,0
2,2,2,2,0,D,S,Private,86,C,6,0
2,2,2,2,0,D,S,Private,86,C,6,0
2,2,2,2,0,D,S,Private,86,C,6,0
2,2,2,2,0,D,S,Private,72,C,6,0
2,2,2,2,0,C,S,,80,C,8,0
2,2,2,2,0,D,M,Private,65,A,8,0
2,2,2,2,0,B,S,Private,79,C,2,0
2,2,2,2,0,C,S,Private,27,H,12,0
2,2,2,2,0,D,S,,73,C,7,0
2,2,2,2,0,D,S,Private,72,C,6,0
2,2,2,2,0,D,S,,83,C,7,0
2,2,2,2,0,B,S,,56,F,2,0
2,2,2,2,0,D,M,,35,H,6,0
2,2,2,2,0,D,S,,76,C,6,0
2,2,2,2,0,C,S,,7,I,6,0
2,2,2,2,0,A,S,Private,59,F,4,0
2,2,2,2,0,C,S,,72,C,6,0
2,2,2,2,0,D,M,,65,A,6,0
2,2,2,2,0,D,S,,65,A,6,0
2,2,2,2,0,D,S,,75,C,5,0
2,2,2,2,0,D,S,Private,65,A,6,0
2,2,2,2,0,D,S,,87,C,6,0
2,2,2,2,0,D,S,,79,C,6,0
2,2,2,2,0,D,S,,75,C,6,0
2,2,2,2,0,D,S,,56,F,5,0
2,2,2,2,0,D,S,,65,A,6,0
2,2,2,2,0,D,S,,27,H,3,0
2,2,2,2,0,B,S,,79,C,3,0
2,2,2,2,0,B,S,,79,C,6,0
2,2,2,2,0,B,S,,86,C,6,0
2,2,2,2,0,D,S,Private,86,C,6,0
2,2,2,2,0,C,S,,82,C,2,0
2,2,2,2,0,D,S,,72,C,2,0
2,2,2,2,0,D,S,Private,59,F,6,0
2,2,2,2,0,D,M,,58,F,6,0
2,2,2,2,0,A,S,,17,G,6,0
2,2,2,2,0,D,S,,86,C,6,0
2,2,2,2,0,A,S,,75,C,5,0
2,2,2,2,0,D,S,,17,G,5,0
2,2,2,2,0,D,S,,52,F,2,0
2,2,2,2,0,A,S,,72,C,5,0
2,2,2,2,0,D,S,,65,A,5,0
2,2,2,2,0,B,S,,79,C,5,0
2,2,2,2,0,B,M,,72,C,5,0
2,2,2,2,0,D,S,,73,C,5,0
2,2,2,2,0,D,S,,59,F,5,0
2,2,2,2,0,D,M,,27,H,4,0
2,2,2,2,0,D,S,,65,A,3,0
2,2,2,2,0,B,S,,7,I,3,0
2,2,2,2,0,D,S,,7,I,5,0
2,2,2,2,0,D,S,,72,C,5,0
2,2,2,2,0,D,S,,73,C,5,0
2,2,2,2,0,D,S,,73,C,5,0
2,2,2,2,0,B,S,,72,C,5,0
2,2,2,2,0,C,S,,72,C,5,0
2,2,2,2,0,D,S,,7,I,5,0
2,2,2,2,0,E,S,,58,F,3,0
2,2,2,2,0,A,S,,63,A,5,0
2,2,2,2,0,D,M,,39,H,5,0
2,2,2,2,0,A,S,,7,I,5,0
2,2,2,2,0,D,S,,27,H,5,0
2,2,2,2,0,D,S,,86,C,5,0
2,2,2,2,0,C,S,,7,I,5,0
2,2,2,2,0,D,S,,76,C,5,0
2,2,2,2,0,D,S,,86,C,5,0
2,2,2,2,0,A,S,,76,C,5,0
2,2,2,2,0,D,S,,65,A,5,0
2,2,2,2,0,D,S,,75,C,5,0
2,2,2,2,0,A,S,,72,C,5,0
2,2,2,2,0,D,M,,34,H,5,0
2,2,2,2,0,D,S,,75,C,5,0
2,2,2,2,0,D,S,,65,A,5,0
2,2,2,2,0,A,S,,79,C,5,0
2,2,2,2,0,D,S,,65,A,5,0
2,2,2,2,0,B,S,,75,C,5,0
2,2,2,2,0,D,S,,79,C,5,0
2,2,2,2,0,B,S,,86,C,5,0
2,2,2,2,0,D,S,,65,A,5,0
2,2,2,2,0,D,S,,65,A,3,0
2,2,2,2,0,D,S,,73,C,3,0
2,2,2,2,0,D,M,,79,C,4,0
2,2,2,2,0,D,S,,35,H,4,0
2,2,2,2,0,D,S,,7,I,4,0
2,2,2,2,0,D,S,,59,F,4,0
2,2,2,2,0,A,M,,60,A,2,0
2,2,2,2,0,D,S,,75,C,4,0
2,2,2,2,0,D,S,,72,C,4,0
2,2,2,2,0,D,M,,75,C,4,0
2,2,2,2,0,D,S,,7,I,4,0
2,2,2,2,0,C,S,,72,C,4,0
2,2,2,2,0,D,S,,65,A,2,0
2,2,2,2,0,D,S,,52,F,4,0
2,2,2,2,0,C,S,,17,G,12,0
2,2,2,2,0,A,S,,83,C,4,0
2,2,2,2,0,B,S,,34,H,4,0
2,2,2,2,0,D,S,,59,F,4,0
2,2,2,2,0,A,S,,87,C,4,0
2,2,2,2,0,A,S,,75,C,4,0
2,2,2,2,0,B,S,,82,C,3,0
2,2,2,2,0,D,S,,80,C,4,0
2,2,2,2,0,D,S,,7,I,4,0
2,2,2,2,0,D,S,,17,G,2,0
2,2,2,2,0,D,S,,75,C,3,0
2,2,2,2,0,B,S,,72,C,4,0
2,2,2,2,0,D,S,,65,A,4,0
2,2,2,2,0,D,S,,17,G,4,0
2,2,2,2,0,D,S,,72,C,4,0
2,2,2,2,0,A,S,,72,C,4,0
2,2,2,2,0,B,S,,72,C,4,0
2,2,2,2,0,D,S,,72,C,3,0
2,2,2,2,0,D,S,,27,H,4,0
2,2,2,2,0,D,S,,27,H,4,0
2,2,2,2,0,D,S,,58,F,4,0
2,2,2,2,0,D,S,,72,C,4,0
2,2,2,2,0,A,S,,72,C,2,0
2,2,2,2,0,E,S,,59,F,6,0
2,2,2,2,0,D,S,,7,I,4,0
2,2,2,2,0,D,S,,59,F,4,0
2,2,2,2,0,D,M,,59,F,4,0
2,2,2,2,0,A,S,,59,F,4,0
2,2,2,2,0,D,M,,73,C,4,0
2,2,2,2,0,E,S,,82,C,2,0
2,2,2,2,0,D,S,,82,C,4,0
2,2,2,2,0,D,S,,82,C,4,0
2,2,2,2,0,D,S,,86,C,4,0
2,2,2,2,0,D,S,,86,C,4,0
2,2,2,2,0,D,S,,72,C,3,0
2,2,2,2,0,D,S,,86,C,4,0
2,2,2,2,0,D,S,,87,C,4,0
2,2,2,2,0,A,S,,83,C,2,0
2,2,2,2,0,B,S,,50,B,3,0
2,2,2,2,0,D,S,,42,E,4,0
2,2,2,2,0,D,S,,65,A,4,0
2,2,2,2,0,D,S,,59,F,3,0
2,2,2,2,0,B,S,,7,I,4,0
2,2,2,2,0,D,S,,73,C,3,0
2,2,2,2,0,B,S,,73,C,4,0
2,2,2,2,0,B,S,Private,87,C,7,0
2,2,2,2,0,D,S,Private,7,I,9,0
2,2,2,2,0,D,S,Private,75,C,12,0
2,2,2,2,0,C,S,Private,7,I,12,0
2,2,2,2,0,B,S,Private,72,C,10,0
2,2,2,2,0,B,S,Private,7,I,10,0
2,2,2,2,0,D,S,Private,73,C,6,0
2,2,2,2,0,B,S,Private,86,C,9,0
2,2,2,2,0,B,S,Private,59,F,10,0
2,2,2,2,0,C,S,,76,C,8,0
2,2,2,2,0,D,S,Private,72,C,10,0
2,2,2,2,0,B,S,Private,70,C,3,0
2,2,2,2,0,D,S,Private,83,C,10,0
2,2,2,2,0,B,S,Private,56,F,8,0
2,2,2,2,0,D,S,Private,72,C,7,0
2,2,2,2,0,D,S,Private,57,F,9,0
2,2,2,2,0,E,S,Private,34,H,9,0
2,2,2,2,0,D,S,Private,65,A,12,0
2,2,2,2,0,D,S,Private,70,C,9,0
2,2,2,2,0,B,M,Private,56,F,8,0
2,2,2,2,0,D,S,,80,C,7,0
2,2,2,2,0,D,S,,80,C,8,0
2,2,2,2,0,D,S,Private,59,F,6,0
2,2,2,2,0,D,S,,65,A,8,0
2,2,2,2,0,D,S,Private,87,C,6,0
2,2,2,2,0,D,S,Private,65,A,9,0
2,2,2,2,0,D,S,Private,65,A,8,0
2,2,2,2,0,E,S,Private,34,H,9,0
2,2,2,2,0,D,S,Private,80,C,2,0
2,2,2,2,0,D,S,Private,59,F,6,0
2,2,2,2,0,D,S,Private,72,C,10,0
2,2,2,2,0,D,S,,80,C,10,0
2,2,2,2,0,D,S,Private,65,A,7,0
2,2,2,2,0,B,S,Private,72,C,8,0
2,2,2,2,0,D,S,Private,83,C,5,0
2,2,2,2,0,D,S,Private,7,I,7,0
2,2,2,2,0,D,S,Private,7,I,7,0
2,2,2,2,0,B,S,,86,C,9,0
2,2,2,2,0,A,S,,65,A,9,0
2,2,2,2,0,D,S,Private,65,A,8,0
2,2,2,2,0,D,S,Private,59,F,9,0
2,2,2,2,0,D,M,,65,A,12,0
2,2,2,2,0,D,S,Private,7,I,12,0
2,2,2,2,0,C,S,Private,39,H,9,0
2,2,2,2,0,B,S,Private,75,C,7,0
2,2,2,2,0,D,S,Private,76,C,7,0
2,2,2,2,0,D,S,Private,75,C,7,0
2,2,2,2,0,D,S,,72,C,2,0
2,2,2,2,0,B,S,,80,C,10,0
2,2,2,2,0,A,S,Private,48,E,6,0
2,2,2,2,0,B,S,Private,17,G,7,0
2,2,2,2,0,D,S,Private,89,C,6,0
2,2,2,2,0,D,S,Private,79,C,10,0
2,2,2,2,0,D,S,Private,79,C,10,0
2,2,2,2,0,D,S,Private,65,A,7,0
2,2,2,2,0,B,S,Private,59,F,9,0
2,2,2,2,0,D,S,Private,73,C,8,0
2,2,2,2,0,B,S,Private,83,C,8,0
2,2,2,2,0,D,S,Private,75,C,7,0
2,2,2,2,0,D,S,Private,72,C,8,0
2,2,2,2,0,C,S,Private,14,D,4,0
2,2,2,2,0,D,S,Private,72,C,7,0
2,2,2,2,0,D,S,Private,27,H,2,0
2,2,2,2,0,D,S,Private,17,G,10,0
2,2,2,2,0,D,S,Private,50,B,5,0
2,2,2,2,0,D,S,Private,50,B,8,0
2,2,2,2,0,D,S,,72,C,3,0
2,2,2,2,0,B,M,,42,E,3,0
2,2,2,2,0,A,S,,72,C,3,0
2,2,2,2,0,C,S,,7,I,3,0
2,2,2,2,0,D,S,Private,60,A,2,0
2,2,2,2,0,D,S,,65,A,2,0
2,2,2,2,0,D,S,,87,C,3,0
2,2,2,2,0,D,M,,87,C,3,0
2,2,2,2,0,A,S,,75,C,3,0
2,2,2,2,0,D,S,,75,C,3,0
2,2,2,2,0,D,S,,86,C,3,0
2,2,2,2,0,D,S,,27,H,3,0
2,2,2,2,0,B,S,,79,C,2,0
2,2,2,2,0,D,S,,27,H,3,0
2,2,2,2,0,D,S,,73,C,3,0
2,2,2,2,0,B,S,,80,C,2,0
2,2,2,2,0,D,S,,59,F,3,0
2,2,2,2,0,C,S,,59,F,3,0
2,2,2,2,0,D,S,,72,C,3,0
2,2,2,2,0,D,S,,72,C,3,0
2,2,2,2,0,D,S,,76,C,3,0
2,2,2,2,0,D,S,,65,A,3,0
2,2,2,2,0,E,S,,26,H,3,0
2,2,2,2,0,D,S,,57,F,2,0
2,2,2,2,0,D,S,,14,D,3,0
2,2,2,2,0,D,S,,86,C,2,0
2,2,2,2,0,A,S,,58,F,3,0
2,2,2,2,0,D,S,,86,C,2,0
2,2,2,2,0,D,S,,80,C,3,0
2,2,2,2,0,D,S,,7,I,3,0
2,2,2,2,0,C,S,,75,C,3,0
2,2,2,2,0,E,S,,39,H,3,0
2,2,2,2,0,D,S,,73,C,2,0
2,2,2,2,0,A,S,,65,A,2,0
2,2,2,2,0,D,S,,65,A,2,0
2,2,2,2,0,D,S,,83,C,2,0
2,2,2,2,0,D,S,,59,F,2,0
2,2,2,2,0,D,S,,56,F,2,0
2,2,2,2,0,D,S,,72,C,2,0
2,2,2,2,0,D,S,,87,C,2,0
2,2,2,2,0,D,S,,75,C,2,0
2,2,2,2,0,D,S,,16,G,2,0
2,2,2,2,0,A,S,,23,H,2,0
2,2,2,2,0,D,S,,79,C,2,0
2,2,2,2,0,D,S,,75,C,2,0
2,2,2,2,0,E,S,,73,C,2,1
2,2,2,2,0,E,S,,73,C,2,1
2,2,2,2,0,D,M,,58,F,2,1
2,2,2,2,0,E,N,,72,C,1,1
2,2,2,2,0,D,S,,73,C,4,1
2,2,2,2,0,E,S,,73,C,2,1
2,2,2,2,0,E,M,,73,C,1,1
2,2,2,2,0,D,S,,73,C,2,1
2,2,2,2,0,D,S,,73,C,6,1
2,2,2,2,0,B,S,,73,C,6,1
2,2,2,2,0,D,S,,27,H,2,1
2,2,2,2,0,A,M,Private,27,H,12,1
2,2,2,2,0,E,S,,48,E,1,1
2,2,2,2,0,D,S,,73,C,3,1
2,2,2,2,0,D,S,Private,73,C,4,1
2,2,2,2,0,D,M,Private,87,C,7,1
2,2,2,2,0,D,S,,73,C,2,1
2,2,2,2,0,E,S,Private,87,C,2,1
2,2,2,2,0,D,S,Private,27,H,2,1
2,2,2,2,0,D,S,,73,C,2,1
2,2,2,2,0,D,S,,89,C,2,1
2,2,2,2,0,D,S,,73,C,2,1
2,2,2,2,0,D,S,,73,C,1,1
2,2,2,2,0,E,S,,50,B,1,1
2,2,2,2,0,D,S,,79,C,3,1
2,2,2,2,0,D,S,,73,C,1,1
2,2,2,2,0,D,M,,87,C,6,1
2,2,2,2,0,E,N,,73,C,1,1
2,2,2,2,0,D,S,,83,C,5,1
2,2,2,2,0,D,S,,82,C,12,1
2,2,2,2,0,D,S,,27,H,3,1
2,2,2,2,0,D,M,,73,C,3,1
2,2,2,2,0,D,S,Private,73,C,12,1
2,2,2,2,0,D,M,,73,C,4,1
2,2,2,2,0,E,S,,48,E,2,1
2,2,2,2,0,D,S,,27,H,6,1
2,2,2,2,0,D,S,,80,C,12,1
2,2,2,2,0,E,S,,73,C,1,1
2,2,2,2,0,E,S,Private,27,H,2,1
2,2,2,2,0,E,M,,87,C,1,1
2,2,2,2,0,D,S,,82,C,6,1
2,2,2,2,0,E,S,,73,C,2,1
2,2,2,2,0,E,S,,73,C,1,1
2,2,2,2,0,D,S,,73,C,4,1
2,2,2,2,0,D,S,Private,83,C,9,1
2,2,2,2,0,A,S,,73,C,1,1
2,2,4,4,0,D,S,Private,59,F,6,1
2,2,4,4,0,D,N,,87,C,1,1
2,2,4,4,0,D,S,,78,C,2,1
2,2,4,4,0,E,S,,62,A,2,1
2,2,4,4,0,D,S,,87,C,4,1
2,2,4,4,0,D,S,Private,73,C,8,1
2,2,4,4,0,D,M,Private,78,C,6,1
2,2,4,4,0,D,S,,50,B,3,1
2,2,4,4,0,A,S,Private,62,A,7,1
2,2,4,4,0,D,S,Public,59,F,8,0
2,2,4,4,0,C,S,Private,65,A,2,0
2,2,4,4,0,D,S,Private,57,F,12,0
2,2,4,4,0,D,S,Private,73,C,12,0
2,2,4,4,0,D,S,Private,50,B,11,0
2,2,4,4,0,B,S,Private,65,A,12,0
2,2,4,4,0,B,S,Private,76,C,12,0
2,2,4,4,0,D,S,Private,57,F,7,0
2,2,4,4,0,D,S,Private,59,F,12,0
2,2,4,4,0,B,S,Private,50,B,6,0
2,2,4,4,0,D,S,Private,57,F,12,0
2,2,4,4,0,D,S,Private,50,B,11,0
2,2,4,4,0,D,M,Private,50,B,12,0
2,2,4,4,0,D,S,Private,73,C,12,0
2,2,4,4,0,D,S,Private,65,A,12,0
2,2,4,4,0,D,S,Private,65,A,10,0
2,2,4,4,0,D,S,Private,54,F,12,0
2,2,4,4,0,D,S,Private,73,C,12,0
2,2,4,4,0,D,S,Private,76,C,10,0
2,2,4,4,0,B,S,Private,57,F,12,0
2,2,4,4,0,D,S,Private,59,F,12,0
2,2,4,4,0,D,S,Private,50,B,6,0
2,2,4,4,0,D,S,Private,50,B,12,0
2,2,4,4,0,D,S,Private,50,B,12,0
2,2,4,4,0,D,S,Private,37,H,12,0
2,2,4,4,0,B,S,Private,17,G,12,0
2,2,4,4,0,D,S,Private,76,C,12,0
2,2,4,4,0,C,S,Private,42,E,12,0
2,2,4,4,0,E,S,Private,59,F,3,0
2,2,4,4,0,D,S,Private,17,G,12,0
2,2,4,4,0,D,M,Private,64,A,12,0
2,2,4,4,0,D,S,Private,76,C,12,0
2,2,4,4,0,D,S,Private,59,F,12,0
2,2,4,4,0,A,S,Private,75,C,8,0
2,2,4,4,0,B,S,Private,57,F,12,0
2,2,4,4,0,A,M,Private,35,H,12,0
2,2,4,4,0,D,S,Private,86,C,12,0
2,2,4,4,0,B,M,,17,G,12,0
2,2,4,4,0,A,S,Private,65,A,12,0
2,2,4,4,0,D,S,Private,55,F,12,0
2,2,4,4,0,A,S,,23,H,3,0
2,2,4,4,0,B,S,,57,F,2,0
2,2,4,4,0,B,S,Private,17,G,2,0
2,2,4,4,0,D,S,Private,76,C,7,0
2,2,4,4,0,B,S,Private,50,B,10,0
2,2,4,4,0,D,S,Private,76,C,10,0
2,2,4,4,0,D,S,Private,17,G,12,0
2,2,4,4,0,B,S,Private,73,C,1,0
2,2,4,4,0,C,M,Private,17,G,9,0
2,2,4,4,0,C,S,Private,52,F,8,0
2,2,4,4,0,A,S,Private,73,C,6,0
2,2,4,4,0,D,S,Private,55,F,6,0
2,2,4,4,0,A,S,,65,A,4,0
2,2,4,4,0,D,S,Private,73,C,6,0
2,2,4,4,0,D,S,Private,64,A,6,0
2,2,4,4,0,D,S,Private,73,C,6,0
2,2,4,4,0,D,S,Private,81,C,6,0
2,2,4,4,0,D,S,Private,51,B,6,0
2,2,4,4,0,A,M,Private,50,B,6,0
2,2,4,4,0,D,S,Private,57,F,3,0
2,2,4,4,0,D,S,Private,50,B,6,0
2,2,4,4,0,D,S,Private,50,B,6,0
2,2,4,4,0,B,S,Private,76,C,6,0
2,2,4,4,0,D,S,,50,B,2,0
2,2,4,4,0,D,S,,73,C,6,0
2,2,4,4,0,D,S,Private,62,A,6,0
2,2,4,4,0,A,M,Private,59,F,6,0
2,2,4,4,0,C,S,,64,A,7,0
2,2,4,4,0,A,S,,42,E,6,0
2,2,4,4,0,B,S,Private,76,C,6,0
2,2,4,4,0,D,S,Private,76,C,6,0
2,2,4,4,0,A,S,,64,A,6,0
2,2,4,4,0,D,S,,64,A,6,0
2,2,4,4,0,C,S,,17,G,6,0
2,2,4,4,0,D,S,Private,64,A,6,0
2,2,4,4,0,D,S,,64,A,6,0
2,2,4,4,0,B,S,,64,A,6,0
2,2,4,4,0,B,S,,17,G,6,0
2,2,4,4,0,D,S,Private,51,B,6,0
2,2,4,4,0,D,S,,76,C,6,0
2,2,4,4,0,D,S,,82,C,5,0
2,2,4,4,0,D,S,,50,B,6,0
2,2,4,4,0,D,S,,50,B,6,0
